comuna,candidato,votos,porcentaje
"SAN FELIPE","2. IGNACIO BRIONES ROJAS",398,7.93
"SAN FELIPE","3. SEBASTIAN SICHEL RAMIREZ",2750,54.79
"SAN FELIPE","4. MARIO DESBORDES JIMENEZ",497,9.9
"SAN FELIPE","5. GABRIEL BORIC FONT",4323,62.86
"SAN FELIPE","6. DANIEL JADUE JADUE",2554,37.14
"SAN FABIAN","1. JOAQUIN LAVIN INFANTE",164,35.81
"SAN FABIAN","2. IGNACIO BRIONES ROJAS",15,3.28
"SAN FABIAN","3. SEBASTIAN SICHEL RAMIREZ",254,55.46
"SAN FABIAN","4. MARIO DESBORDES JIMENEZ",25,5.46
"SAN FABIAN","5. GABRIEL BORIC FONT",195,67.47
"SAN FABIAN","6. DANIEL JADUE JADUE",94,32.53
"SAN ESTEBAN","1. JOAQUIN LAVIN INFANTE",308,27.82
"SAN ESTEBAN","2. IGNACIO BRIONES ROJAS",89,8.04
"SAN ESTEBAN","3. SEBASTIAN SICHEL RAMIREZ",613,55.37
"SAN ESTEBAN","4. MARIO DESBORDES JIMENEZ",97,8.76
"SAN ESTEBAN","5. GABRIEL BORIC FONT",1063,70.68
"SAN ESTEBAN","6. DANIEL JADUE JADUE",441,29.32
"SAN CLEMENTE","1. JOAQUIN LAVIN INFANTE",697,31.02
"SAN CLEMENTE","2. IGNACIO BRIONES ROJAS",148,6.59
"SAN CLEMENTE","3. SEBASTIAN SICHEL RAMIREZ",1069,47.57
"SAN CLEMENTE","4. MARIO DESBORDES JIMENEZ",333,14.82
"SAN CLEMENTE","5. GABRIEL BORIC FONT",1188,58.38
"SAN CLEMENTE","6. DANIEL JADUE JADUE",847,41.62
"SAN CARLOS","1. JOAQUIN LAVIN INFANTE",1190,32.43
"SAN CARLOS","2. IGNACIO BRIONES ROJAS",249,6.79
